keyword,intent_type,estimated_volume,difficulty_score,opportunity_score,source,notes,tier
fox in the box hermes,Navigational,90,7,92.5,cluster:fox in the box,Brand + product,TIER 1
what is hermes ai,Informational,180,12,87.4,cluster:hermes ai,AI concept,TIER 1
is hermes ai free,Informational,180,12,87.4,cluster:hermes ai,Pricing question,TIER 1
fox in the box ai,Commercial,120,12,86.8,cluster:fox in the box,Product positioning,TIER 1
fox in the box app,Navigational,90,12,86.5,cluster:fox in the box,App info,TIER 1
open source hermes alternative,Commercial,150,17,81.1,competitor:expected_serp,SERP pattern,TIER 1
what is hermes agent,Informational,600,22,79.6,cluster:hermes agent,Concept explanation,TIER 1
how to install hermes agent,Transactional,280,22,76.4,cluster:hermes agent,Question format,TIER 1
fox in the box docker,Transactional,240,22,76.0,cluster:fox in the box,Docker wrapper,TIER 1
fox in the box download,Transactional,240,22,76.0,cluster:fox in the box,Get the app,TIER 1
best local ai tools 2025,Commercial,150,22,75.1,competitor:expected_serp,SERP pattern,TIER 1
hermes ai self hosted,Transactional,240,27,70.0,cluster:hermes ai,Self-hosting AI,TIER 1
hermes agent supervisor,Informational,270,30,66.7,cluster:related trends,Feature/use case,TIER 2
hermes agent setup,Transactional,850,35,66.5,cluster:hermes agent,Initial configuration,TIER 2
hermes agent install,Transactional,700,35,65.0,cluster:hermes agent,Direct setup instructions,TIER 2
electron app docker,Technical,90,30,64.9,cluster:related trends,Technical approach,TIER 2
containerized ai workloads,Technical,90,30,64.9,competitor:expected_serp,SERP pattern,TIER 2
hermes agent tutorial,Informational,450,35,62.5,cluster:hermes agent,Learning guide,TIER 2
hermes ai setup,Transactional,400,35,62.0,cluster:hermes ai,AI setup,TIER 2
hermes alternatives,Commercial,375,35,61.8,trend:market,Market trend,TIER 2
hermes ai docker,Transactional,360,35,61.6,cluster:hermes ai,AI in Docker,TIER 2
hermes ai local,Transactional,360,35,61.6,cluster:hermes ai,Local deployment,TIER 2
hermes agent self-host,Transactional,350,35,61.5,cluster:hermes agent,Self-hosting guide,TIER 2
hermes ai tutorial,Informational,270,35,60.7,cluster:hermes ai,AI learning,TIER 2
hermes agent performance,Informational,270,35,60.7,competitor:expected_serp,SERP pattern,TIER 2
self-hosted ai comparison,Commercial,225,35,60.2,competitor:expected_serp,SERP pattern,TIER 2
hermes agent github,Navigational,200,35,60.0,cluster:hermes agent,Repository location,TIER 2
ollama docker,Transactional,800,40,60.0,cluster:related trends,Local LLM setup,TIER 2
self hosted ai,Informational,650,40,58.5,cluster:related trends,Self-hosting concept,TIER 2
claude code vs hermes,Commercial,150,37,57.1,trend:market,Comparison trend,TIER 2
llm orchestration,Informational,450,40,56.5,trend:market,Market trend,TIER 3
local llm setup,Transactional,360,40,55.6,competitor:expected_serp,SERP pattern,TIER 3
run ollama locally,Transactional,360,40,55.6,competitor:expected_serp,SERP pattern,TIER 3
docker compose llm,Transactional,360,40,55.6,competitor:expected_serp,SERP pattern,TIER 3
llm inference locally,Transactional,360,40,55.6,competitor:expected_serp,SERP pattern,TIER 3
local ai inference,Transactional,360,40,55.6,trend:market,Market trend,TIER 3
local llm desktop,Transactional,320,40,55.2,cluster:related trends,Desktop LLM,TIER 3
ai development environment,Informational,270,40,54.7,competitor:expected_serp,SERP pattern,TIER 3
ai agent framework,Informational,270,40,54.7,trend:market,Market trend,TIER 3
ai devops tools,Informational,270,40,54.7,trend:market,Market trend,TIER 3
private ai deployment,Commercial,225,40,54.2,trend:market,Market trend,TIER 3
hermes agent docker,Transactional,1200,50,52.0,cluster:hermes agent,Docker deployment,TIER 3
hermes vs claude code,Commercial,500,47,48.6,cluster:related trends,Tool comparison,TIER 3
hermes vs cursor,Commercial,550,55,39.5,cluster:related trends,Tool comparison,TIER 3
cursor vs hermes,Commercial,225,55,36.2,trend:market,Comparison trend,TIER 3
