rank,keyword,volume,difficulty,tier,intent,target_url,content_status,published_date,current_serp_position,current_traffic,current_backlinks,last_updated,notes
1,fox in the box hermes,90,7,TIER 1,Navigational,,Backlog,,,0,0,2026-04-30,
2,what is hermes ai,180,12,TIER 1,Informational,,Backlog,,,0,0,2026-04-30,
3,is hermes ai free,180,12,TIER 1,Informational,,Backlog,,,0,0,2026-04-30,
4,fox in the box ai,120,12,TIER 1,Commercial,,Backlog,,,0,0,2026-04-30,
5,fox in the box app,90,12,TIER 1,Navigational,,Backlog,,,0,0,2026-04-30,
6,open source hermes alternative,150,17,TIER 1,Commercial,,Backlog,,,0,0,2026-04-30,
7,what is hermes agent,600,22,TIER 1,Informational,,Backlog,,,0,0,2026-04-30,
8,how to install hermes agent,280,22,TIER 1,Transactional,,Backlog,,,0,0,2026-04-30,
9,fox in the box docker,240,22,TIER 1,Transactional,,Backlog,,,0,0,2026-04-30,
10,fox in the box download,240,22,TIER 1,Transactional,,Backlog,,,0,0,2026-04-30,
11,best local ai tools 2025,150,22,TIER 1,Commercial,,Backlog,,,0,0,2026-04-30,
12,hermes ai self hosted,240,27,TIER 1,Transactional,,Backlog,,,0,0,2026-04-30,
13,hermes agent supervisor,270,30,TIER 2,Informational,,Backlog,,,0,0,2026-04-30,
14,hermes agent setup,850,35,TIER 2,Transactional,,Backlog,,,0,0,2026-04-30,
15,hermes agent install,700,35,TIER 2,Transactional,,Backlog,,,0,0,2026-04-30,
16,electron app docker,90,30,TIER 2,Technical,,Backlog,,,0,0,2026-04-30,
17,containerized ai workloads,90,30,TIER 2,Technical,,Backlog,,,0,0,2026-04-30,
18,hermes agent tutorial,450,35,TIER 2,Informational,,Backlog,,,0,0,2026-04-30,
19,hermes ai setup,400,35,TIER 2,Transactional,,Backlog,,,0,0,2026-04-30,
20,hermes alternatives,375,35,TIER 2,Commercial,,Backlog,,,0,0,2026-04-30,
21,hermes ai docker,360,35,TIER 2,Transactional,,Backlog,,,0,0,2026-04-30,
22,hermes ai local,360,35,TIER 2,Transactional,,Backlog,,,0,0,2026-04-30,
23,hermes agent self-host,350,35,TIER 2,Transactional,,Backlog,,,0,0,2026-04-30,
24,hermes ai tutorial,270,35,TIER 2,Informational,,Backlog,,,0,0,2026-04-30,
25,hermes agent performance,270,35,TIER 2,Informational,,Backlog,,,0,0,2026-04-30,
